Algorithm;ndcg_5;hit_5;P_5;R_5;RR_5;ndcg_10;hit_10;P_10;R_10;RR_10;ndcg_50;hit_50;P_50;R_50;RR_50;ndcg_100;hit_100;P_100;R_100;RR_100
KGCL-DP-R-DC4C;0.0045520742318101;0.019011738;0.0039983449116923;0.0048793501459122;0.0090931858272174;0.0058419472299785;0.037696812;0.0040702105882096;0.0079506895314421;0.0115100019115786;0.0114833832230885;0.122193426;0.0030871752433633;0.0274648280821756;0.0151274462116436;0.0156495086124768;0.18277837;0.0026115551296848;0.045938239928099;0.015977417205733
AdaGCL-DP-DC-3C;0.0040459587137247;0.016376663;0.0034059975173675;0.0044811765901534;0.0085531043794507;0.0048085989589724;0.026350748;0.0028201833663625;0.006461509716769;0.0098366533616647;0.0089492729938905;0.081034;0.0020213854831333;0.0209568411854237;0.0123570680259686;0.0121005751495687;0.12252009;0.0017445937411528;0.0356175550886132;0.0129448120697788
KGCL-E-R-DC-3C;0.0036616553304753;0.016899323;0.0035453733748557;0.0045642957736254;0.0065833315185435;0.0043173832216346;0.027112959;0.0029007600339728;0.0061656061149723;0.0079274944804464;0.0078717794395988;0.07898691;0.0019273067793288;0.0195000553718562;0.0099610428485651;0.0106583532925606;0.12027701;0.0016052178836647;0.0325386711018053;0.0105461288895671
UserKNN;0.0036281794060963;0.019338822;0.0039592316738533;0.0054942143240849;0.0055519258968886;0.008591232236509;0.06668409;0.007047345267651;0.0172666319602161;0.0116339548000334;0.0247036850417837;0.26436257;0.0071658173265386;0.0715658560664807;0.0207499300691203;0.0335956175719433;0.3683305;0.0058391044906137;0.1109484218370372;0.0222088520569863
KGCL-E-DC-2C;0.0036277120271191;0.016942877;0.0035279513926697;0.0045519549341579;0.0065470357223226;0.0042457801492062;0.026394304;0.0028071168797229;0.0061089661556798;0.0077822594444254;0.0080385332098241;0.08014112;0.0018854940220823;0.0205074344864183;0.0098882533612531;0.010723418228702;0.118752584;0.0015100503059735;0.0333993496447256;0.0104371542271305
KGCL-E-R-DC-2C;0.0035521067233264;0.016202444;0.003401642021821;0.0043443384584113;0.006446859324753;0.0043329040266134;0.027396066;0.0029399594938914;0.0062423561116884;0.0079191810147405;0.008367354164844;0.08549838;0.0021211263311483;0.02127580400008;0.0101885050147789;0.0112980169489822;0.1260916;0.0017600557503429;0.0348033850157891;0.0107596017174339
AdaGCL-E-DC-4C;0.0034701922234912;0.013197152;0.0027526731853916;0.0033276710658129;0.0079335351379603;0.0038829046873573;0.02245258;0.0023672118295259;0.0045699735968258;0.0091524343936199;0.0088987937719219;0.10119994;0.0023558875411049;0.022191802123904;0.0125902632761812;0.0119712073000905;0.15346588;0.0019355822208671;0.0362291201413372;0.0133042427197174
KGCL-E;0.0034168692006599;0.013654479;0.0028702715651473;0.0039882689431885;0.0059927989140297;0.0043691072394191;0.023781005;0.0025610313813454;0.0062939059068028;0.0073347236351657;0.0077779842380928;0.06779329;0.0016076134062152;0.0190915571468625;0.0091675054085236;0.0097153960690686;0.09762843;0.0012121344105925;0.0284441708650712;0.0095941414729603
KGCL-E-R;0.0034102540229861;0.013676256;0.0028746270606938;0.0039955282605223;0.0059565031178088;0.0043546941106359;0.023737451;0.0025566758857989;0.0062815650673353;0.0072871761421163;0.0077521195712222;0.06761907;0.0016028223611141;0.0190411394595704;0.0091133561466338;0.0096945255366818;0.0975631;0.0012108277619286;0.0284142484408808;0.0095415297981884
AdaGCL-E-DC-3C;0.003286722475969;0.013436704;0.0028136501230427;0.0033254932706128;0.0073317508366181;0.0040330607835408;0.025958754;0.0028136501230427;0.0053094387718064;0.0089454878621672;0.007540040186277;0.08101222;0.0020544872492867;0.0176067019455323;0.0113173086916663;0.0104580854170382;0.1255036;0.0017894553452819;0.0303010398500668;0.0119567222033106
KGCL-DP-R-DC5C;0.0028927753090024;0.01217361;0.0025523203902524;0.0032107960567388;0.0057663131456114;0.0036030181954262;0.022779241;0.0024913434526013;0.0048967638654689;0.0071427188731572;0.006930331411422;0.07110346;0.0018715564363335;0.016233147208695;0.0092742251260497;0.0092925568194526;0.10296392;0.0015610096038676;0.0265221320497974;0.0097280043209636
