Algorithm;ndcg_5;hit_5;P_5;R_5;RR_5;ndcg_10;hit_10;P_10;R_10;RR_10;ndcg_50;hit_50;P_50;R_50;RR_50;ndcg_100;hit_100;P_100;R_100;RR_100
SpectralMixOFDPARS1-DP-DC-R-4C;0.0816350248165518;0.02582038;0.0054058721934369;0.086827522375852;0.0197495682210708;0.0861290265696168;0.028756477;0.0030310880829015;0.098984809889639;0.0201700729226636;0.1046782543745688;0.048100173;0.0010725388601036;0.1835232871793536;0.0209468439978459;0.1218613274460845;0.06830743;0.0008367875647668;0.2862417832322548;0.0212211384588617
SpectralMixOFDPARS1-DP-DC-R-5C;0.0816269769273334;0.025906736;0.0054231433506044;0.0863878390475796;0.0197207829591249;0.0857507264768945;0.028583765;0.003013816925734;0.0974765581137314;0.0201021876799078;0.1031134874121467;0.047150258;0.0010431778929188;0.1758053070918962;0.0208607229268773;0.1216936875700788;0.06934369;0.0008411053540587;0.286890601259153;0.0211664011848028
SpectralMixOPDPxEDARS1-DP-R;0.0814056667073507;0.025129534;0.0052677029360967;0.0843472979827914;0.0198186528497409;0.086452819580592;0.02849741;0.003013816925734;0.0981599886086829;0.0202730487704581;0.1041206795406197;0.047236614;0.0010362694300518;0.1791622694506749;0.0210205349014492;0.1232262888422754;0.06934369;0.0008488773747841;0.2921344048945059;0.021329702115692
SpectralMixOPDPxEDARS1-DP-DC-R-2C;0.0812028884493603;0.025474956;0.0053367875647668;0.0850679594294717;0.0197265400115141;0.085639934760191;0.028583765;0.003013816925734;0.0974738101816399;0.0201373125531156;0.1050428313998555;0.048272885;0.0010829015544041;0.1868961721106044;0.020903511262964;0.1227715630616118;0.06917098;0.0008514680483592;0.2925701498402567;0.0211933328935054
SpectralMixOFDPARS1-DP-R;0.0811965201929062;0.025129534;0.0052677029360967;0.0842544474721136;0.0197035118019574;0.08630692889213;0.028583765;0.0030224525043177;0.0982528391193607;0.0201696617046358;0.1038411035954293;0.047150258;0.0010431778929188;0.1778623623011856;0.0209227379050478;0.123641126806822;0.07063904;0.0008696027633851;0.2948920650616368;0.0212511572155955
SpectralMixOPDPxEDARS0-DP-DC-R-4C;0.0810022414908093;0.0253886;0.0053195164075993;0.0850550834984567;0.0196790443293034;0.0866414774537804;0.029101899;0.0030656303972366;0.1004677691228439;0.0202050607231954;0.1088500889170701;0.05267703;0.0011830742659758;0.2025663406427689;0.0211325018483546;0.1299785311826115;0.076943;0.0009576856649395;0.3283675295787822;0.0214660960176662
SpectralMixOFDPARS1-DP-DC-R-2C;0.080657859833692;0.0253886;0.0053195164075993;0.0846965573867604;0.0196301093839953;0.0853157174341627;0.028411053;0.0029965457685664;0.0975666606923177;0.0200396825396825;0.104827664057281;0.048100173;0.0010932642487046;0.1870075927234178;0.0208104384910966;0.1231551614705215;0.07020725;0.00086701208981;0.2964513011865891;0.0211130287087929
KGCL-DP;0.0711458262215906;0.022807775;0.0047170626349891;0.0934373966363562;0.0108639308855291;0.0891868298407094;0.035853133;0.0038012958963282;0.1451133949585436;0.0125325859645514;0.1422298035686358;0.081555076;0.0020526997840172;0.3760319762312571;0.0146589546465997;0.1717922835707989;0.10911447;0.0015334773218142;0.5518974202650234;0.0150462660350146
BPRMF-DP-R;0.059727617621288;0.018574513;0.0038876889848812;0.0681582563757183;0.0129863210943124;0.0660204074726159;0.023930885;0.0025313174946004;0.0854263684078289;0.0136956700606808;0.0914191096220362;0.052527;0.0011835853131749;0.1985137731303363;0.0149702563083272;0.1097783824116731;0.074730024;0.0009166306695464;0.3077931483881566;0.0152717457515518
LightGCN-E-DC-4C;0.0319452002597051;0.012008639;0.0024535637149028;0.0429599417744601;0.0055694744420446;0.0418169313267463;0.01926566;0.0020043196544276;0.0709637092576083;0.0065340258493606;0.0796801471321555;0.05961123;0.0013701943844492;0.2418143656238643;0.0082118951063461;0.1029327136407516;0.084665224;0.0010807775377969;0.379583003641803;0.0085644285531979
LightGCN-E-DC-2C;0.0314213923974721;0.011922247;0.0024190064794816;0.0414721535660429;0.0055507559395248;0.0414397228119568;0.019352052;0.0019956803455723;0.0699217846359194;0.0065162329870753;0.0795450635263193;0.059697624;0.0013701943844492;0.2423543630539411;0.008178738441759;0.1031888452401226;0.08526998;0.0010894168466522;0.3823949863353705;0.0085359110477041
LightGCN-E-DC-3C;0.0310902338298953;0.012008639;0.0024362850971922;0.0420723382382497;0.0054859611231101;0.0406679325859496;0.019092873;0.0019784017278617;0.0692418978046425;0.0064145496931674;0.0785088851706234;0.059179265;0.0013615550755939;0.2394374165720993;0.0080990707120261;0.1027758145702945;0.08561555;0.0010937365010799;0.3831461973172547;0.008469820546285
SpectralMixARS1-DP-CC-R-2C;0.0308383019714107;0.011398964;0.0022797927461139;0.0397917240467455;0.005660621761658;0.0398630957086802;0.018221071;0.0018566493955094;0.0655202837717591;0.0065505318419826;0.0743423342232975;0.055181347;0.0012711571675302;0.2204739818680218;0.0080617049751886;0.1002451513998237;0.08436961;0.0010673575129533;0.3741063378805777;0.008475068925961
LightGCN-DP-DC-4C;0.0303564158978646;0.0114038875;0.0023326133909287;0.0398984265723584;0.005271418286537;0.041123565095142;0.019179266;0.0019784017278617;0.0703410871223329;0.0063062155027597;0.0785173970194185;0.05935205;0.0013615550755939;0.2393678725909851;0.0079598731831361;0.1015556685542223;0.084578834;0.0010755939524837;0.3759369838595797;0.0083106031358983
SpectralMixARS0-DP-CC-R-2C;0.0303557006442635;0.011139896;0.0022279792746113;0.0388490165061793;0.0056001727115716;0.0399093150861319;0.018307427;0.0018652849740932;0.0660939386085611;0.0065397716369218;0.0742416570880095;0.055181347;0.0012677029360967;0.2205237617100971;0.0080399388324707;0.1000183287210047;0.08428325;0.0010639032815198;0.3735460253448227;0.0084518673462916
LightGCN-E-DC-5C;0.0302857882285948;0.011576674;0.0023498920086393;0.0404015704889195;0.0054355651547876;0.0403206371472527;0.019092873;0.0019784017278617;0.0693872423755658;0.0063907573108437;0.0782495898117606;0.059438445;0.001363282937365;0.2409608591075895;0.0080647608554382;0.1021874086769832;0.084665224;0.0010850971922246;0.3826249736890694;0.008422647453332
LightGCN-DP-DC-2C;0.0297152737791412;0.011144709;0.0022634989200863;0.0382227920829461;0.0054168466522678;0.0404239417528774;0.019092873;0.0019524838012958;0.0681998821705957;0.0064671054887037;0.0781617916271411;0.05917927;0.0013598272138228;0.2385846990251208;0.0081225961136949;0.1017451574876138;0.08492441;0.0010816414686825;0.3783691843653415;0.0084804219000032
LightGCN-DP-DC-3C;0.0291615990138801;0.011317494;0.0023153347732181;0.0388072884937827;0.0052901367890568;0.03907019782774;0.018401727;0.0019092872570194;0.066805524467609;0.0062334327539511;0.0768112370745179;0.058747303;0.0013477321814254;0.2367134265985312;0.0079271915147139;0.1005034765480142;0.08431965;0.0010773218142548;0.3769582955535649;0.0082857610320444
LightGCN-DP-DC-5C;0.0289661838890137;0.010971922;0.0022116630669546;0.0377095536895149;0.0053664506839452;0.0400548181954667;0.019179266;0.0019611231101511;0.0690924052232801;0.0064570948609825;0.0773695540514705;0.0587473;0.0013529157667386;0.2381653733860578;0.0080821638944817;0.1010378114329758;0.08492441;0.0010807775377969;0.3784761781323735;0.0084499580696269
SpectralMixARS1-DP-CC-2C;0.0285328473814148;0.010880829;0.0021761658031088;0.0380456784666355;0.0050892343120322;0.0375298249061265;0.017702935;0.0018048359240069;0.0636753338966525;0.0059839419360144;0.0720097217210084;0.054749567;0.0012573402417962;0.2182912410095813;0.0075105037814858;0.0986717268640128;0.08480138;0.0010725388601036;0.3763125963405331;0.0079374907065621
KGCL-DP-DC-5C;0.0281443298808058;0.010021598;0.0020561555075593;0.0361035808911741;0.0049719222462203;0.0367538133413008;0.016328294;0.0016587473002159;0.0606195263241419;0.0058006102368953;0.0741821257715552;0.05598272;0.0012941684665226;0.228032616693732;0.0074771096229711;0.0994147874942447;0.08414687;0.0010773218142548;0.3783502934148851;0.00786789354083
